#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 3.4156502553198661e-03 -1.6739316251010847e-01
#     2 3.4156502553198661e-03 -1.6537531855629614e-01
#     3 3.4156502553198661e-03 -1.6335073707078643e-01
#adaptive measurement: gap=2.0178439538123261e-03 period_steps=6228 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
 24.50000000 +2.0000000000000000e+00 +1.9999987456955308e+00 +2.0093572359247531e-03 +9.9958261511080038e-01 +9.9999851262077388e-01 +1.9832799045074175e-04 +2.2054427757189210e-04
 25.00000000 +2.0000000000000000e+00 +1.9999974041436055e+00 +2.0382214637618872e-03 +9.9950843537164535e-01 +9.9999833618520961e-01 +2.6187318604242526e-04 +2.3135525659855242e-04
 25.50000000 +2.0000000000000000e+00 +2.0000001557341633e+00 +2.0475889506621331e-03 +9.9948462188611598e-01 +9.9999840838111154e-01 +2.8378848364769707e-04 +2.3318124824906196e-04
 26.00000000 +2.0000000000000000e+00 +1.9999993959582609e+00 +2.1001687005465660e-03 +9.9934785886806543e-01 +9.9999823168740087e-01 +3.1237419890532740e-04 +3.4153524687480469e-04
 26.50000000 +2.0000000000000000e+00 +2.0000000368318731e+00 +2.0968824986432226e-03 +9.9935353774566416e-01 +9.9999810410065226e-01 +3.3257302714878752e-04 +3.1578512558045414e-04
 27.00000000 +2.0000000000000000e+00 +1.9999986033467390e+00 +2.0971596451094983e-03 +9.9935044163471953e-01 +9.9999781819339495e-01 +3.1047407754019327e-04 +3.4126609392933773e-04
 27.50000000 +2.0000000000000000e+00 +1.9999970493118973e+00 +2.1263415068755367e-03 +9.9927355946096774e-01 +9.9999792570774759e-01 +3.3820023568692785e-04 +3.9031459656443728e-04
 28.00000000 +2.0000000000000000e+00 +1.9999976979410916e+00 +2.1313153877981356e-03 +9.9925538023581217e-01 +9.9999727907076519e-01 +3.7089551181025888e-04 +3.7644518210052194e-04
 28.50000000 +2.0000000000000000e+00 +2.0000025555466321e+00 +2.1359301842636663e-03 +9.9923996431296536e-01 +9.9999769819383277e-01 +3.9945459938184493e-04 +3.6288289248463023e-04
 29.00000000 +2.0000000000000000e+00 +1.9999966117665846e+00 +2.1523013290312767e-03 +9.9919252632594813e-01 +9.9999731786857515e-01 +3.9304451744359763e-04 +4.1711128792973356e-04
 29.50000000 +2.0000000000000000e+00 +1.9999932671827809e+00 +2.1426565303600412e-03 +9.9921252038637842e-01 +9.9999723885228842e-01 +4.0468066157225193e-04 +3.8556010097975398e-04
 30.00000000 +2.0000000000000000e+00 +1.9999928243531127e+00 +2.1735951461076823e-03 +9.9913014266933009e-01 +9.9999775526822887e-01 +4.5038207104028069e-04 +4.2171999268473945e-04
 30.50000000 +2.0000000000000000e+00 +1.9999923766198624e+00 +2.1367496344270468e-03 +9.9921710014222653e-01 +9.9999670853831046e-01 +3.7889711071736437e-04 +4.0729420864598086e-04
 31.00000000 +2.0000000000000000e+00 +1.9999897815844392e+00 +2.1518945061854713e-03 +9.9917395801251963e-01 +9.9999565838856497e-01 +4.4175498564991562e-04 +3.8862861368813044e-04
 31.50000000 +2.0000000000000000e+00 +1.9999951216012635e+00 +2.1254552188598114e-03 +9.9923876945481638e-01 +9.9999715420213042e-01 +3.6369887266357234e-04 +4.0037747049479275e-04
 32.00000000 +2.0000000000000000e+00 +1.9999913896634569e+00 +2.1369442584781482e-03 +9.9920546216609329e-01 +9.9999653324892346e-01 +4.0711735857245870e-04 +3.9088722642274506e-04
 32.50000000 +2.0000000000000000e+00 +1.9999915248207158e+00 +2.0846290145565549e-03 +9.9933733087534760e-01 +9.9999690546132103e-01 +3.3306790968825847e-04 +3.3269575364231971e-04
 33.00000000 +2.0000000000000000e+00 +1.9999895395175495e+00 +2.1139431272552728e-03 +9.9925949706308392e-01 +9.9999610764943936e-01 +3.4532890121580218e-04 +3.9906638500168017e-04
