stage,case_id,window,wc_eV,eta,back_replicas,Q_accuracy,Q_repeat,Q_conservative
pilot,p08_random01_stratf,40-50,4.145914,0.00012438,12,13.572421277908202,18.441447238373563,13.572421277908202
pilot,p08_random01_stratf,50-60,4.145914,0.00012438,12,11.331810235223697,12.495447775539331,11.331810235223697
pilot,p08_random01_stratf,60-70,4.145914,0.00012438,12,12.751147274905083,8.870506326404138,8.870506326404138
pilot,p08_random01_stratf,70-80,4.145914,0.00012438,12,6.831604645995726,6.195726376410568,6.195726376410568
pilot,p08_random01_stratf,80-90,4.145914,0.00012438,12,3.0164381920862207,7.541444261792152,3.0164381920862207
pilot,p08_random01_stratf,90-100,4.145914,0.00012438,12,3.411016142027629,4.078270525919119,3.411016142027629
pilot,p08_random01_stratf,100-110,4.145914,0.00012438,12,2.6764102761615485,2.308576891311093,2.308576891311093
pilot,p08_random01_stratf,110-120,4.145914,0.00012438,12,2.4995955429435948,1.7586110824819206,1.7586110824819206
pilot,p08_random01_stratf,120-130,4.145914,0.00012438,12,1.919218205130135,2.3064783869224756,1.919218205130135
pilot,p08_random01_stratf,130-140,4.145914,0.00012438,12,1.5072318054266864,1.4159655224166618,1.4159655224166618
pilot,p08_random01_stratf,140-150,4.145914,0.00012438,12,1.0742220728492717,1.1932099484636844,1.0742220728492717
