rank,stage,case_id,param_id,origin,random_seed,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,total_forward_paths,back_replicas,tmax,signal_rms_0_200,poisson_rms_vs_qm_0_200,repeat_noise_of_mean_0_200,Q_accuracy_0_200_all,Q_repeat_0_200_all,Q_0_200_all,Q_accuracy_0_50,Q_repeat_0_50,Q_0_50,Q_accuracy_50_100,Q_repeat_50_100,Q_50_100,Q_accuracy_100_150,Q_repeat_100_150,Q_100_150,Q_accuracy_0_150,Q_repeat_0_150,Q_0_150,Q_accuracy_150_200,Q_repeat_150_200,Q_150_200,Q_accuracy_0_200,Q_repeat_0_200,Q_0_200,min_10au_window_Q_0_150,passes_Q0_150_gt_10,projected_ntraj_per_repeat_Q10_0_150,occupation_min,occupation_max,max_particle_error
1,confirm3,e05_random_b32,e05_random_b32,random,20260817,3.351907,3.1184e-05,-17.1948749688398,2000000,3,6000000,32,200.0,1.5953806818607077e-05,6.663349623988004e-06,5.52151983304913e-06,2.394262303327669,2.8893868537998095,2.394262303327669,21.986276366205676,21.570155196180465,21.570155196180465,5.029371433233905,6.22936089241123,5.029371433233905,2.7875836019438855,2.9810508403527085,2.7875836019438855,4.318082625003149,4.761659094718509,4.318082625003149,1.338656049164027,1.6687198716747962,1.338656049164027,2.394262303327669,2.8893868537998095,2.394262303327669,2.3395985483700126,False,10726255,-5.940552734627873e-05,1.0000916821592523,6.326583701365962e-10
4,validate,v02_known,v02_known,known_best,0,3.4,4e-05,-17.1948749688398,8000000,3,24000000,12,200.0,2.0453731646746246e-05,7.965549613899501e-06,8.464255381096133e-06,2.567774056802743,2.4164832848057873,2.4164832848057873,27.800278756169742,27.809650586742137,27.800278756169742,7.651139996314203,8.183911329011288,7.651139996314203,2.5087595186799354,2.8391936534120124,2.5087595186799354,4.230576830488436,4.764205652346262,4.230576830488436,1.4786380805526202,1.3172316251963452,1.3172316251963452,2.567774056802743,2.4164832848057873,2.4164832848057873,1.5281923364428944,False,44698281,-6.671568647623775e-05,1.0000974220842527,4.440128265059684e-10
2,confirm3,e04_random_b24,e04_random_b24,random,20260817,3.407263,3.0376e-05,-17.1948749688398,2000000,3,6000000,24,200.0,1.552371523059222e-05,8.09755601001452e-06,7.587886774790938e-06,1.917086490219212,2.045854885732653,1.917086490219212,20.7611214408713,18.524204768327017,18.524204768327017,4.583611090808591,5.617508482574831,4.583611090808591,3.2782931997448723,2.5223543261636268,2.5223543261636268,4.71493737311268,4.076690676741192,4.076690676741192,1.003927856124748,1.111804404171379,1.003927856124748,1.917086490219212,2.045854885732653,1.917086490219212,1.8637927123858244,False,12034124,-6.334088129118491e-05,1.0000828254375747,4.6431303246663447e-10
5,validate,v04_random,v04_random,random,20260814,3.488949,4.2822e-05,-17.1948749688398,8000000,3,24000000,12,200.0,2.186272949673978e-05,1.0021792981051538e-05,9.261842268533502e-06,2.181518769952264,2.3605162842188494,2.181518769952264,26.05446302588713,27.324367171129804,26.05446302588713,5.451197841092326,7.789767137536214,5.451197841092326,2.4687213057855417,2.7168283554515646,2.4687213057855417,3.993092709999493,4.552103486630771,3.993092709999493,1.2117429112381366,1.2949847084850086,1.2117429112381366,2.181518769952264,2.3605162842188494,2.181518769952264,1.537408787205535,False,50173131,-7.686612722021775e-05,1.0000847905660546,4.669402642321074e-10
3,confirm3,e02_best_b24,e02_best_b24,replica_control,0,3.38946,2.961e-05,-17.1948749688398,2000000,3,6000000,24,200.0,1.5136776377258051e-05,7.959777205256532e-06,7.5338835307861314e-06,1.9016582985842774,2.0091598596399574,1.9016582985842774,18.871838420561165,19.661501737809658,18.871838420561165,6.638147628171817,5.402673716301441,5.402673716301441,2.7354085656087115,2.0340270293876115,2.0340270293876115,4.461870375335899,3.3764365055724435,3.3764365055724435,1.0029101243047844,1.1472593738309844,1.0029101243047844,1.9016582985842774,2.0091598596399574,1.9016582985842774,1.380074234621325,False,17543362,-7.52678869486978e-05,1.0000597499092505,4.59460025581393e-10
4,confirm3,e01_best_b16,e01_best_b16,replica_control,0,3.38946,2.961e-05,-17.1948749688398,2000000,3,6000000,16,200.0,1.5136776369601932e-05,8.400714091943552e-06,1.0535872196847996e-05,1.8018440103941158,1.4366894441003548,1.4366894441003548,14.61066670862085,15.171668141616728,14.61066670862085,4.078048536274213,4.545751530160892,4.078048536274213,2.1410530724403025,1.8711538325187105,1.8711538325187105,3.3511715494601098,3.0715333320580047,3.0715333320580047,0.9990498131114378,0.7707324919343044,0.7707324919343044,1.8018440103941158,1.4366894441003548,1.4366894441003548,1.3693568165932106,False,21199203,-0.00013106648809231642,1.0001304527807977,2.978470803327582e-10
5,confirm3,e03_random_b16,e03_random_b16,random,20260817,3.372814,2.8427e-05,-17.1948749688398,2000000,3,6000000,16,200.0,1.4535777855948289e-05,8.171023463300052e-06,7.900240575908703e-06,1.7789421265567735,1.8399158501924926,1.7789421265567735,15.807832715972244,15.468009993017121,15.468009993017121,5.224905588845324,4.35598343008554,4.35598343008554,2.0473337291196554,1.7957932454048282,1.7957932454048282,3.3768249348301023,2.9485375646841803,2.9485375646841803,0.9802379006059924,1.0723808247607172,0.9802379006059924,1.7789421265567735,1.8399158501924926,1.7789421265567735,1.3755117819587916,False,23004705,-6.517449717400576e-05,1.0000655300432761,2.8984992184177827e-10
1,pilot,p08_random01_stratf,random01,forward_stratified,20260810,4.145914,0.00012438,-17.1948749688398,8000000,3,24000000,12,200.0,6.29197021951776e-05,6.504562866144789e-05,0.00010349427040432408,0.9673163822070904,0.6079534833123358,0.6079534833123358,26.60439083824125,32.665698704368104,26.60439083824125,4.7653666552842076,6.392991654866203,4.7653666552842076,1.6336188285893316,1.6307651185712124,1.6307651185712124,2.741455133932981,2.806493721352236,2.741455133932981,0.49853833617197707,0.30388709144663867,0.30388709144663867,0.9673163822070904,0.6079534833123358,0.6079534833123358,1.0742220728492717,False,106445597,-0.0010483316464431863,1.0015879452992567,4.412283871602085e-10
1,refine,r02_grid,r02_grid,regular_grid,0,3.4,4e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.04537316346871e-05,1.4851367149123245e-05,1.7914639795791123e-05,1.3772288725549817,1.1417327876998404,1.1417327876998404,15.082807400578174,14.331550984322181,14.331550984322181,4.014551132588177,3.7499069232886004,3.7499069232886004,1.6503402976941492,1.758967649607573,1.6503402976941492,2.703963508901767,2.818529581185175,2.703963508901767,0.7509995190055725,0.5977787015731096,0.5977787015731096,1.3772288725549817,1.1417327876998404,1.1417327876998404,1.2190377605134277,False,27354473,-0.0002467598016474899,1.0002528977470018,1.183684261718554e-10
1,fine,f02_grid,f02_grid,regular_grid,0,3.2,4e-05,-17.1948749688398,2000000,3,6000000,12,200.0,2.0532105263903235e-05,1.437857741692067e-05,1.5774424467837742e-05,1.427964997409348,1.3016072507599794,1.3016072507599794,13.239241869718263,12.488933939690792,12.488933939690792,3.374397392731448,4.122505240173169,3.374397392731448,2.1076057779408255,1.5668361193466755,1.5668361193466755,3.180706354011857,2.594812283362559,2.594812283362559,0.7600684772471057,0.7079323053458333,0.7079323053458333,1.427964997409348,1.3016072507599794,1.3016072507599794,1.0886980541918627,False,29704217,-0.00021597397513148636,1.000224164018818,1.183684261718554e-10
