rank,stage,case_id,version,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,qm_signal_peak,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,projected_ntraj_Q10,occupation_min,occupation_max,max_particle_error,min_window_Q,selection_score
28,coarse,c07_wc1_eta0p00003,v0.61,1.0,3e-05,-17.1948749688398,500000,2,50.0,1.7296666214867468e-05,8.942651852061889e-05,5.546948906737938e-06,5.555779785564868e-06,3.118230671614268,3.1132742625631047,3.1132742625631047,5158641,-2.5327018221584218e-05,1.0000533083174385,7.604228358104592e-11,1.6069343997205292,0.1299160757795437
29,coarse,c35_wc10_eta0p003,v0.61,10.0,0.003,-17.1948749688398,500000,2,50.0,0.0015035357042385972,0.007761556759245725,0.003129168250145863,0.004573239340009653,0.4804905278482585,0.32876820836484444,0.32876820836484444,462583753,-0.03782181109559368,1.0352907023229456,5.938805003324887e-11,0.14789826426839786,0.12791191414369843
30,coarse,c19_wc4_eta0p00003,v0.61,4.0,3e-05,-17.1948749688398,500000,2,50.0,1.613566547218762e-05,8.484820651055713e-05,4.113389344371796e-06,6.2727782791238345e-06,3.922717769049865,2.5723315497836166,2.5723315497836166,7556421,-2.3900450500324374e-05,1.0000214990708938,7.580869265666479e-11,1.333141756104841,0.1036775427125369
31,coarse,c29_wc7_eta0p003,v0.61,7.0,0.003,-17.1948749688398,500000,2,50.0,0.0015681586262871426,0.00799032502925534,0.0060525869842267144,0.003617233863198876,0.2590889863084706,0.43352425792573784,0.2590889863084706,744855624,-0.06407539152813103,1.1359486284462263,6.195666202302164e-11,0.11584587121841525,0.10294571107138457
32,coarse,c24_wc4_eta0p01,v0.61,4.0,0.01,-17.1948749688398,500000,2,50.0,0.006938464323898786,0.026922642287939946,1.1483149988846102,1.1423319233915195,0.006042300527850204,0.006073947669516995,0.006042300527850204,1369510480357,-29.813063534430732,28.089150098414002,4.8689940967960865e-11,0.003271661350500532,0.005050080629572688
33,coarse,c30_wc7_eta0p01,v0.61,7.0,0.01,-17.1948749688398,500000,2,50.0,0.005738615140058342,0.025715338200870685,1.1521778700189267,1.1420698532604732,0.004980667733154843,0.005024749689062609,0.004980667733154843,2015555974903,-23.712128665704544,28.688171506767674,4.722444657545566e-11,0.0023937925050363466,0.0037857805046686978
34,coarse,c12_wc1_eta0p01,v0.61,1.0,0.01,-17.1948749688398,500000,2,50.0,0.00965658357359857,0.028400078199011802,3.7091477518168974,3.7225785222741097,0.0026034507708322936,0.0025940577252617355,0.0025940577252617355,7430374991531,-149.58442598566486,122.56403005976736,4.991562718714704e-11,0.0013561949517788706,0.0025577358934783705
35,coarse,c06_wc0p5_eta0p01,v0.61,0.5,0.01,-17.1948749688398,500000,2,50.0,0.00993279287970859,0.02866879010354395,4.831411991447973,4.835050532067309,0.0020558778463295024,0.002054330728051699,0.002054330728051699,11847569904282,-134.9810086311022,143.27142500704466,1.1116441100966767e-10,0.0014409467106261341,0.002054330728051699
36,coarse,c36_wc10_eta0p01,v0.61,10.0,0.01,-17.1948749688398,500000,2,50.0,0.005293469523619559,0.02497458908790673,2.284939090130824,2.2864605485593392,0.0023166786136590103,0.0023151370475011633,0.0023151370475011633,9328602651914,-43.944761488783186,38.70528944945209,4.711520062983254e-11,0.0013664712643982016,0.0016900954145622918
37,coarse,c18_wc2_eta0p01,v0.61,2.0,0.01,-17.1948749688398,500000,2,50.0,0.0087285770426254,0.027881405823850347,15.039818199626541,15.039727105314642,0.0005803645314570452,0.0005803680466742612,0.0005803645314570452,148445924350422,-345.7401699617325,570.4621160039047,4.660094532482617e-11,0.0003737605825483405,0.0005440475989724182
