stage,case_id,window,wc_eV,eta,signal_rms,error_rms_vs_qm,repeat_noise_rms,Q_accuracy,Q_repeat,Q_conservative
coarse,c09_wc1_eta0p0003,20-30,1.0,0.0003,0.00015251408452267466,2.788395242655558e-05,2.6343871871949154e-05,5.469600657381206,5.789357208538166,5.469600657381206
coarse,c09_wc1_eta0p0003,30-40,1.0,0.0003,0.00016991521212665316,6.806877829010345e-05,6.135848924977449e-05,2.4962283207506486,2.7692209212481167,2.4962283207506486
coarse,c09_wc1_eta0p0003,40-50,1.0,0.0003,0.00016470512631656538,9.241773857871709e-05,8.532086617476987e-05,1.7821808761991864,1.9304202324808342,1.7821808761991864
coarse,c10_wc1_eta0p001,0-10,1.0,0.001,0.0005937192890313016,6.234608576494134e-06,8.073035317268426e-06,95.22960130484469,73.54350200367898,73.54350200367898
coarse,c10_wc1_eta0p001,10-20,1.0,0.001,0.0006800578195240452,4.1279408706741515e-05,4.355040893651104e-05,16.47450486404332,15.615417538683777,15.615417538683777
coarse,c10_wc1_eta0p001,20-30,1.0,0.001,0.0005159882105692882,0.00013915566173578728,0.00011251173164943621,3.7079929349118914,4.5860836288343965,3.7079929349118914
coarse,c10_wc1_eta0p001,30-40,1.0,0.001,0.0005885711530264788,0.0002910891216778476,0.00027166888752942097,2.0219620356608816,2.1665018706374255,2.0219620356608816
coarse,c10_wc1_eta0p001,40-50,1.0,0.001,0.0005856686612603776,0.0005972687901301229,0.0005591017314912895,0.9805780428151654,1.0475171659694673,0.9805780428151654
coarse,c11_wc1_eta0p003,0-10,1.0,0.003,0.001773247020763577,2.403531931364086e-05,2.3761882463405662e-05,73.77671990224815,74.62569615410122,73.77671990224815
coarse,c11_wc1_eta0p003,10-20,1.0,0.003,0.002045128072637991,0.00013527111996057006,0.0001458942433770549,15.118733941392085,14.017880522896851,14.017880522896851
coarse,c11_wc1_eta0p003,20-30,1.0,0.003,0.0016397417867762122,0.0007518167687418269,0.0007173672299899237,2.1810391240944744,2.2857773790409195,2.1810391240944744
coarse,c11_wc1_eta0p003,30-40,1.0,0.003,0.0020218859648978697,0.002645646407118605,0.0027654871602823612,0.7642313649539895,0.7311138500066048,0.7311138500066048
coarse,c11_wc1_eta0p003,40-50,1.0,0.003,0.0022217509107190767,0.010706531395121913,0.010840486575987617,0.20751360349359702,0.2049493715199463,0.2049493715199463
coarse,c12_wc1_eta0p01,0-10,1.0,0.01,0.0058324124662588635,0.00010684652157509487,6.407099422615831e-05,54.58682585337767,91.03046607442312,54.58682585337767
coarse,c12_wc1_eta0p01,10-20,1.0,0.01,0.00697179830541334,0.0011961821487556728,0.0008025134116416779,5.828375145596134,8.6874539469083,5.828375145596134
coarse,c12_wc1_eta0p01,20-30,1.0,0.01,0.007213676586175489,0.016192613551769413,0.013356132003934325,0.44549180174729913,0.540102223012662,0.44549180174729913
coarse,c12_wc1_eta0p01,30-40,1.0,0.01,0.010863488485691747,8.003891367130537,8.010270552506121,0.0013572758533811034,0.0013561949517788706,0.0013561949517788706
coarse,c12_wc1_eta0p01,40-50,1.0,0.01,0.014573612774970948,1.4770860709171147,1.5961546821775399,0.009866461448602159,0.009130451414075374,0.009130451414075374
coarse,c13_wc2_eta0p00003,0-10,2.0,3e-05,1.763123291334364e-05,4.701266481695601e-07,5.971842832274834e-07,37.50315576024229,29.523939943723253,29.523939943723253
coarse,c13_wc2_eta0p00003,10-20,2.0,3e-05,1.978840424127414e-05,2.1068589923090688e-06,1.5785079828397406e-06,9.392372395832009,12.53614454687441,9.392372395832009
coarse,c13_wc2_eta0p00003,20-30,2.0,3e-05,1.4785344496868491e-05,3.4974804391673066e-06,4.011944535318285e-06,4.22742735921881,3.6853312319522145,3.6853312319522145
coarse,c13_wc2_eta0p00003,30-40,2.0,3e-05,1.6623555490079977e-05,5.825017235003407e-06,5.380563877884103e-06,2.8538208248014314,3.0895563861639643,2.8538208248014314
coarse,c13_wc2_eta0p00003,40-50,2.0,3e-05,1.552509121623788e-05,7.230646742010257e-06,8.0743831297565e-06,2.1471234552279634,1.922758799867114,1.922758799867114
coarse,c14_wc2_eta0p0001,0-10,2.0,0.0001,5.8762189741083194e-05,1.2547226163876356e-06,1.0335092069285792e-06,46.83281306450056,56.85695816461552,46.83281306450056
coarse,c14_wc2_eta0p0001,10-20,2.0,0.0001,6.596623895894056e-05,4.472697189812315e-06,4.8039151914692414e-06,14.748648558009952,13.731765930440018,13.731765930440018
coarse,c14_wc2_eta0p0001,20-30,2.0,0.0001,4.935625657888633e-05,9.370631010257987e-06,1.0010436470832747e-05,5.267121981951511,4.930479976841658,4.930479976841658
coarse,c14_wc2_eta0p0001,30-40,2.0,0.0001,5.558313199318312e-05,1.8495674279499377e-05,1.9444095233665455e-05,3.0051963044565246,2.8586124129317487,2.8586124129317487
coarse,c14_wc2_eta0p0001,40-50,2.0,0.0001,5.197530107187836e-05,2.289010956235237e-05,2.75155031508358e-05,2.270644486445043,1.888946052956316,1.888946052956316
coarse,c15_wc2_eta0p0003,0-10,2.0,0.0003,0.00017621336796361855,3.0446008746365982e-06,3.113935979721143e-06,57.87732948235826,56.58862902486476,56.58862902486476
