#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 4.4721359549995798e-03 -1.6996561506240432e-01
#     2 4.4721359549995798e-03 -1.6538935211869343e-01
#     3 4.4721359549995798e-03 -1.6077828451849061e-01
#adaptive measurement: gap=4.5762629437108848e-03 period_steps=2746 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
 41.50000000 +2.0000000000000000e+00 +1.9999815734242363e+00 +2.1177788532644216e-03 +9.9929081414597731e-01 +9.9998209771160751e-01 +3.6179168988445737e-04 +3.6529645537866650e-04
 42.00000000 +2.0000000000000000e+00 +1.9999800472415903e+00 +2.1333659973505831e-03 +9.9925502351003637e-01 +9.9998223734804481e-01 +3.8605330171708472e-04 +3.7668589836480125e-04
 42.50000000 +2.0000000000000000e+00 +1.9999805894713538e+00 +2.1547125498826572e-03 +9.9920552354610748e-01 +9.9998183636035709e-01 +3.9991583628513075e-04 +4.1272425757160706e-04
 43.00000000 +2.0000000000000000e+00 +1.9999811104113443e+00 +2.1626342175258347e-03 +9.9918778954146581e-01 +9.9998193743623121e-01 +4.0521727337339318e-04 +4.2505575181735157e-04
 43.50000000 +2.0000000000000000e+00 +1.9999812403661998e+00 +2.1859338458763396e-03 +9.9913140535662071e-01 +9.9998149570124062e-01 +4.4241267747648528e-04 +4.4468632421761268e-04
 44.00000000 +2.0000000000000000e+00 +1.9999809817895113e+00 +2.2014197348977282e-03 +9.9909283650897129e-01 +9.9998030660848714e-01 +4.5772963772017445e-04 +4.6912718834494826e-04
 44.50000000 +2.0000000000000000e+00 +1.9999803206259992e+00 +2.2135943280262604e-03 +9.9906204965513168e-01 +9.9998049795547173e-01 +4.7927797333243251e-04 +4.7817441977576346e-04
 45.00000000 +2.0000000000000000e+00 +1.9999790913872950e+00 +2.2261175659870455e-03 +9.9902927252244023e-01 +9.9997970849438300e-01 +4.9714986459346085e-04 +4.9386905839998122e-04
 45.50000000 +2.0000000000000000e+00 +1.9999764099596300e+00 +2.2444925361743157e-03 +9.9898006679595197e-01 +9.9997999168510199e-01 +5.1363215695671648e-04 +5.2630930528593442e-04
 46.00000000 +2.0000000000000000e+00 +1.9999783383061951e+00 +2.2505262123873626e-03 +9.9896286730956230e-01 +9.9997966100802438e-01 +5.2335280829912071e-04 +5.3411893701397540e-04
 46.50000000 +2.0000000000000000e+00 +1.9999767500011176e+00 +2.2657848336596021e-03 +9.9892100587634558e-01 +9.9997810509692764e-01 +5.4432665795101141e-04 +5.5656236493314634e-04
 47.00000000 +2.0000000000000000e+00 +1.9999739857574603e+00 +2.2832711250328729e-03 +9.9887106658738767e-01 +9.9997768573965107e-01 +5.7199243899470290e-04 +5.7925529389978936e-04
 47.50000000 +2.0000000000000000e+00 +1.9999719090777293e+00 +2.2890599661482517e-03 +9.9885260471814608e-01 +9.9997751846487459e-01 +5.7867077459378764e-04 +5.9120609930533733e-04
 48.00000000 +2.0000000000000000e+00 +1.9999710100539079e+00 +2.2895181507346283e-03 +9.9884584513705554e-01 +9.9997738579597506e-01 +5.8172511263139559e-04 +5.9504396958873522e-04
