source_stage,model_branch,source_file,search_round,selection_rank,selection_status,case_id,wc_eV,eta,band_class,ntraj_per_run,independent_repeats,time_end,required_until,required_Q,bottleneck_window,passes_required_interval,active_orbitals,inactive_orbitals,max_inactive_noise,inactive_noise_limit,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,Q_0_10,Q_10_20,Q_20_30,Q_30_40,Q_40_50,Q_50_60,Q_60_70,Q_70_80,Q_80_90,Q_90_100,Q_100_110,Q_110_120,Q_120_130,Q_130_140,Q_140_150
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.75_eta1.6E-4,0.75,0.00016,ultranarrow,1000000,3,60.0,60.0,2.514823584949216,50-60,False,0 5 6 7 8 9,1 2 3 4,2.182655378006885e-05,0.00012700730706256092,0.0010198040112217317,0.0015611974735754474,0.00013780361382565205,8.411049634560186e-12,83.19953117928229,27.111267782033142,10.875537315703678,5.893533412369487,3.8650359926946884,2.514823584949216,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.75_eta8.0E-5,0.75,8e-05,ultranarrow,1000000,3,60.0,60.0,2.4842110566581908,50-60,False,0 5 6 7 8 9,1 2 3 4,5.9897102024746976e-06,5.8500935053252606e-05,0.0004325699670648341,0.000634469257404049,5.573681890716248e-05,9.207745677031198e-12,60.63100805823862,21.164306351819818,10.290677837971415,5.235658513568441,3.7712909633609675,2.4842110566581908,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc0.25_eta8.0E-5,0.25,8e-05,ultranarrow,1000000,3,60.0,60.0,2.471415731017302,50-60,False,0 5 6 7 8 9,1 2 3 4,5.744675451508308e-06,6.048903070171928e-05,0.00044992703315655387,0.0006515919036576417,5.185712718685316e-05,9.203304784932698e-12,89.93536912591405,21.826004426260155,9.204734614430132,6.298211587947474,3.6999473145215807,2.471415731017302,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc1.25_eta2.0E-4,1.25,0.0002,narrow,1000000,3,60.0,60.0,2.3975344847080136,50-60,False,0 5 6 7 8 9,1 2 3 4,3.405214025532478e-05,0.00015991240556426187,0.0013308631477966485,0.002150024856978756,0.000196246431715948,8.363087999896379e-12,114.45914897764445,23.856913629462333,11.874060888180068,5.477454763661375,4.088835483122241,2.3975344847080136,,,,,,,,,
resonant-verylowwc-1m,delE=-2.5eV,scan_cloud_resonant_verylowwc_1m_20260809/strict_resonant_verylowwc_q60.csv,,,not-applicable,wc1.25_eta1.2E-4,1.25,0.00012,narrow,1000000,3,60.0,60.0,2.3557621268497733,50-60,False,0 5 6 7 8 9,1 2 3 4,1.3563950260156706e-05,8.815085811035166e-05,0.0006824201673118213,0.0010228957432872972,9.109416061571661e-05,9.139355938714289e-12,85.78088282061185,21.340552830440405,10.653034311458637,4.6768495946965345,2.980326200046503,2.3557621268497733,,,,,,,,,
resonant-ultralowwc-grid3-1m,delE=-2.5eV,scan_cloud_resonant_ultralowwc_1m_20260809/strict_resonant_ultralowwc_grid3_q60.csv,,,not-applicable,wc0.05_eta1.0E-4,0.05,0.0001,ultranarrow,1000000,3,60.0,60.0,3.475383499561281,50-60,False,0 5 6 7 8 9,1 2 3 4,8.551789125527022e-06,7.851665451427675e-05,0.0005915264024363594,0.0008588219310383461,6.792006362988423e-05,7.398526236102043e-12,81.47580113199535,21.289839905140155,9.852790583854304,6.127615204999495,3.602965860481608,3.475383499561281,,,,,,,,,
resonant-ultralowwc-grid3-1m,delE=-2.5eV,scan_cloud_resonant_ultralowwc_1m_20260809/strict_resonant_ultralowwc_grid3_q60.csv,,,not-applicable,wc0.20_eta5.0E-5,0.2,5e-05,ultranarrow,1000000,3,60.0,60.0,3.2838143097486285,40-50,False,0 5 6 7 8 9,1 2 3 4,2.748243426182365e-06,3.6169390487570886e-05,0.00026152776440639404,0.00040089426840402947,2.9850633551559702e-05,1.0240697179142444e-11,86.9446047945931,23.818467903940817,8.918757410287723,6.5072609463883495,3.2838143097486285,3.3179669778611376,,,,,,,,,
resonant-ultralowwc-grid3-1m,delE=-2.5eV,scan_cloud_resonant_ultralowwc_1m_20260809/strict_resonant_ultralowwc_grid3_q60.csv,,,not-applicable,wc0.50_eta1.0E-4,0.5,0.0001,ultranarrow,1000000,3,60.0,60.0,3.2563094423364043,50-60,False,0 5 6 7 8 9,1 2 3 4,1.018579178232688e-05,7.616942422774539e-05,0.0005748172936410052,0.0008150759319684896,6.439555015443194e-05,7.358558207215538e-12,106.12553206546785,22.341683719536892,11.645668864746371,6.180373650779004,3.3776402482858634,3.2563094423364043,,,,,,,,,
resonant-ultralowwc-grid3-1m,delE=-2.5eV,scan_cloud_resonant_ultralowwc_1m_20260809/strict_resonant_ultralowwc_grid3_q60.csv,,,not-applicable,wc0.05_eta1.5E-4,0.05,0.00015,ultranarrow,1000000,3,60.0,60.0,3.10802237530727,50-60,False,0 5 6 7 8 9,1 2 3 4,1.7578824773498762e-05,0.00012297920296041337,0.0009641985750603519,0.0014112669272667022,0.00012558331228477098,9.904077558076096e-12,94.86252756965354,25.35094069661595,10.99570134321987,7.069550481321507,3.9569908257198114,3.10802237530727,,,,,,,,,
resonant-ultralowwc-grid3-1m,delE=-2.5eV,scan_cloud_resonant_ultralowwc_1m_20260809/strict_resonant_ultralowwc_grid3_q60.csv,,,not-applicable,wc0.30_eta1.0E-4,0.3,0.0001,ultranarrow,1000000,3,60.0,60.0,3.0878473108266156,50-60,False,0 5 6 7 8 9,1 2 3 4,7.488732684640992e-06,7.75361761397153e-05,0.0005841367161679515,0.0008269303217451982,6.698352675636091e-05,7.37454541877014e-12,84.9962305596781,27.583582049721034,10.515487128699636,6.241430963322681,3.491666935909612,3.0878473108266156,,,,,,,,,
