label,scope,window_start,window_stop,ntraj,back_replicas,runtime_seconds_64_cores,Q,qm_signal_rms,error_rms,target_Q,trajectory_multiplier,estimated_ntraj_for_target,estimated_runtime_seconds_64_cores
n100k-b16-r2,all,150,200,100000,16,79.0,0.09624005864801652,1.6444216549806218e-05,0.00017086665138005015,10.0,10796.6305878937,1079663058.78937,852933.8164436023
n100k-b16-r2,active,150,200,100000,16,79.0,0.09629862007124491,2.122891743598501e-05,0.00022044882284168925,10.0,10783.503217947824,1078350321.7947824,851896.7542178781
n100k-b16-r3,all,0,50,100000,16,70.0,4.769591471603551,1.7958460735388406e-05,3.765198936283471e-06,10.0,4.395797075274638,439579.7075274638,307.70579526922467
n100k-b16-r3,active,0,50,100000,16,70.0,4.773985179934654,2.3184233245814194e-05,4.856368918625662e-06,10.0,4.387709508258259,438770.95082582586,307.1396655780781
n100k-b16-r3,all,50,100,100000,16,70.0,1.208735243238524,1.6435552239191667e-05,1.3597313664120887e-05,10.0,68.44435416177177,6844435.416177177,4791.104791324024
n100k-b16-r3,active,50,100,100000,16,70.0,1.2119653040360059,2.121799660821531e-05,1.750709903786565e-05,10.0,68.08001234387505,6808001.234387506,4765.600864071253
n100k-b16-r3,all,100,150,100000,16,70.0,0.2998020286374285,1.6442046733492177e-05,5.484301359873949e-05,10.0,1112.5790185069527,111257901.85069527,77880.5312954867
n100k-b16-r3,active,100,150,100000,16,70.0,0.3001146371688539,2.1226221403759675e-05,7.07270448519215e-05,10.0,1110.262433378416,111026243.3378416,77718.37033648913
n100k-b16-r3,all,150,200,100000,16,70.0,0.1041410921063724,1.6444216549806218e-05,0.0001579032466167118,10.0,9220.527013947105,922052701.3947105,645436.8909762973
n100k-b16-r3,active,150,200,100000,16,70.0,0.10421670253952252,2.122891743598501e-05,0.00020369976135000323,10.0,9207.152667558434,920715266.7558434,644500.6867290904
n50k-b32,all,0,50,50000,32,70.0,4.047391191457207,1.7958460735388406e-05,4.437045960196082e-06,10.0,6.1044935002200384,305224.67501100193,427.3145450154027
n50k-b32,active,0,50,50000,32,70.0,4.048892393888763,2.3184233245814194e-05,5.726068018208524e-06,10.0,6.099967629578066,304998.3814789033,426.9977340704646
n50k-b32,all,50,100,50000,32,70.0,0.9783551013169778,1.6435552239191667e-05,1.6799168540203383e-05,10.0,104.47369916776115,5223684.958388058,7313.158941743281
n50k-b32,active,50,100,50000,32,70.0,0.9795627624098183,2.121799660821531e-05,2.16606810941006e-05,10.0,104.21625563790705,5210812.7818953525,7295.137894653494
n50k-b32,all,100,150,50000,32,70.0,0.29625895576194966,1.6442046733492177e-05,5.549890193599315e-05,10.0,1139.3496533975488,56967482.66987744,79754.47573782841
