catalog_id,generation,selection_status,version,case_id,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,Q_0_40,Q_40_end,Q_0_60,min_window_Q,projected_ntraj_Q10,selection_score,rank,source
coarse_c17_wc2_eta0p003,previous_grid,screened_out,v0.61,c17_wc2_eta0p003,2.0,0.003,-17.1948749688398,500000,2,50.0,0.0018700766846648793,0.004565552150945277,0.0042856711551155155,0.4096058095136836,0.4363556178202556,0.4096058095136836,,,,0.21041853865558374,298014771,0.17772974825092008,21,v0.61 coarse grid with matching exact QM
coarse_c11_wc1_eta0p003,previous_grid,screened_out,v0.61,c11_wc1_eta0p003,1.0,0.003,-17.1948749688398,500000,2,50.0,0.0019467890535740638,0.004997675073848971,0.005088979724884193,0.38953894056876726,0.382549972454128,0.382549972454128,,,,0.2049493715199463,341659621,0.16936042429755005,22,v0.61 coarse grid with matching exact QM
coarse_c05_wc0p5_eta0p003,previous_grid,screened_out,v0.61,c05_wc0p5_eta0p003,0.5,0.003,-17.1948749688398,500000,2,50.0,0.001972976936630092,0.0045492428038182795,0.005315676913956555,0.43369347861013907,0.371161936394206,0.371161936394206,,,,0.19936788455007362,362946942,0.16542027798002745,23,v0.61 coarse grid with matching exact QM
coarse_c13_wc2_eta0p00003,previous_grid,screened_out,v0.61,c13_wc2_eta0p00003,2.0,3e-05,-17.1948749688398,500000,2,50.0,1.6895498655753933e-05,4.581428172454997e-06,4.800988022237176e-06,3.687823538811553,3.519171174245281,3.519171174245281,,,,1.922758799867114,4037284,0.14514103273046602,24,v0.61 coarse grid with matching exact QM
coarse_c25_wc7_eta0p00003,previous_grid,screened_out,v0.61,c25_wc7_eta0p00003,7.0,3e-05,-17.1948749688398,500000,2,50.0,1.5253633559485426e-05,3.867604070094956e-06,4.2647294045369905e-06,3.9439490917463336,3.576694348592902,3.576694348592902,,,,1.842648536357754,3908467,0.14016280920311833,25,v0.61 coarse grid with matching exact QM
coarse_c01_wc0p5_eta0p00003,previous_grid,screened_out,v0.61,c01_wc0p5_eta0p00003,0.5,3e-05,-17.1948749688398,500000,2,50.0,1.7495023205168663e-05,5.4244317649226295e-06,4.9869839982771175e-06,3.2252268925753924,3.5081370245448493,3.2252268925753924,,,,1.6628860019367038,4806728,0.13535735023979378,26,v0.61 coarse grid with matching exact QM
coarse_c31_wc10_eta0p00003,previous_grid,screened_out,v0.61,c31_wc10_eta0p00003,10.0,3e-05,-17.1948749688398,500000,2,50.0,1.4798148830942243e-05,4.283619099259104e-06,3.6802760251661768e-06,3.4545902630562404,4.020934497779703,3.4545902630562404,,,,2.2029909078554444,4189643,0.1333412586512764,27,v0.61 coarse grid with matching exact QM
coarse_c07_wc1_eta0p00003,previous_grid,screened_out,v0.61,c07_wc1_eta0p00003,1.0,3e-05,-17.1948749688398,500000,2,50.0,1.7296666214867468e-05,5.546948906737938e-06,5.555779785564868e-06,3.118230671614268,3.1132742625631047,3.1132742625631047,,,,1.6069343997205292,5158641,0.1299160757795437,28,v0.61 coarse grid with matching exact QM
coarse_c35_wc10_eta0p003,previous_grid,screened_out,v0.61,c35_wc10_eta0p003,10.0,0.003,-17.1948749688398,500000,2,50.0,0.0015035357042385972,0.003129168250145863,0.004573239340009653,0.4804905278482585,0.32876820836484444,0.32876820836484444,,,,0.14789826426839786,462583753,0.12791191414369843,29,v0.61 coarse grid with matching exact QM
coarse_c19_wc4_eta0p00003,previous_grid,screened_out,v0.61,c19_wc4_eta0p00003,4.0,3e-05,-17.1948749688398,500000,2,50.0,1.613566547218762e-05,4.113389344371796e-06,6.2727782791238345e-06,3.922717769049865,2.5723315497836166,2.5723315497836166,,,,1.333141756104841,7556421,0.1036775427125369,30,v0.61 coarse grid with matching exact QM
coarse_c29_wc7_eta0p003,previous_grid,screened_out,v0.61,c29_wc7_eta0p003,7.0,0.003,-17.1948749688398,500000,2,50.0,0.0015681586262871426,0.0060525869842267144,0.003617233863198876,0.2590889863084706,0.43352425792573784,0.2590889863084706,,,,0.11584587121841525,744855624,0.10294571107138457,31,v0.61 coarse grid with matching exact QM
