run,start_au,stop_au,observations,orbital,active,signal_RMS,RMSE,Q
pilot_n256_step10,2300,2400,11,3,False,5.850471555447503e-11,6.310804546466855e-05,9.270563701300062e-07
pilot_n256_step10,2300,2400,11,4,False,1.2228605124675343e-10,6.492121456164993e-05,1.8836069545591943e-06
pilot_n256_step10,2300,2400,11,5,True,9.108301134343465e-08,0.0018081906307346822,5.037246062182443e-05
pilot_n256_step10,2300,2400,11,6,True,8.838535948749382e-08,0.0008078328427364396,0.00010941045574242652
pilot_n256_step10,2300,2400,11,7,True,8.58411404661393e-08,0.0009795866767304884,8.76299591503699e-05
pilot_n256_step10,2300,2400,11,8,True,8.333440745950634e-08,0.0007798037559708146,0.00010686587083151374
pilot_n256_step10,2300,2400,11,9,True,8.092135130033962e-08,0.0002350121252461943,0.0003443284095046923
pilot_n256_step10,2400,2500,11,0,True,4.293394712680791e-07,0.0029239502463879225,0.000146835423002994
pilot_n256_step10,2400,2500,11,1,False,2.1486715376095335e-11,6.352237624593494e-05,3.3825427583040643e-07
pilot_n256_step10,2400,2500,11,2,False,2.4022500275371887e-11,5.514453269539188e-05,4.3562795985719385e-07
pilot_n256_step10,2400,2500,11,3,False,6.652873823554031e-11,5.434910393610256e-05,1.2241000019753254e-06
pilot_n256_step10,2400,2500,11,4,False,1.0464815750710307e-10,5.6532024062366385e-05,1.8511305625932437e-06
pilot_n256_step10,2400,2500,11,5,True,9.106689491485483e-08,0.0020986306633380097,4.339348342981273e-05
pilot_n256_step10,2400,2500,11,6,True,8.838665204424984e-08,0.0013362665188761888,6.614447851210382e-05
pilot_n256_step10,2400,2500,11,7,True,8.584278397394052e-08,0.0018094930513222515,4.744023963574361e-05
pilot_n256_step10,2400,2500,11,8,True,8.333498956224197e-08,0.0012967967703983725,6.426218160355357e-05
pilot_n256_step10,2400,2500,11,9,True,8.092116267783361e-08,0.0017909283227949121,4.518392034336055e-05
pilot_n256_step10,2500,2600,11,0,True,4.2933906829745437e-07,0.0028424172487586585,0.00015104716539591627
pilot_n256_step10,2500,2600,11,1,False,2.1463384555355578e-11,2.1540430789785694e-05,9.96423180428376e-07
pilot_n256_step10,2500,2600,11,2,False,2.583966296041969e-11,3.278932857046546e-05,7.88050993630117e-07
pilot_n256_step10,2500,2600,11,3,False,5.835260133998642e-11,2.1563177879232004e-05,2.7061225236279838e-06
pilot_n256_step10,2500,2600,11,4,False,8.535508835591382e-11,2.086000916205836e-05,4.091804931282754e-06
pilot_n256_step10,2500,2600,11,5,True,9.104800612742607e-08,0.0014984090903641634,6.0763116503316435e-05
