case_id,segment,start,end,points,SCI,tail_score,class,worst_series,limiting_metric,amplitude,amplitude_se,drift,drift_se,jump,jump_se,noise_sigma,rho1,tolerance
wc7.0_eta4.2e-5,2,10,19.5,20,94.814389543,68.6272094288,usable,series_0,amplitude,6.34563473794e-05,2.24591398026e-05,7.10240096123e-06,5.29991515587e-06,1.22196261485e-05,4.06760674354e-05,7.74671111245e-06,-0.166975803395,0.0001
wc7.0_eta4.2e-5,3,20,29.5,20,68.6272094288,68.6272094288,uncertain,series_0,drift,3.57067965915e-05,0.000109089746657,1.30743981784e-05,0.000179113220963,4.55068662042e-06,5.79565280626e-05,2.37978745615e-05,0.455729852074,0.0001
wc7.0_eta4.2e-5,4,30,39.5,20,74.6387773707,69.6909837434,uncertain,series_0,amplitude,3.0179620484e-05,0.0001052834641,9.91780257258e-06,6.81996503293e-05,2.52214842024e-05,7.53524914955e-05,2.29675358944e-05,0.522564756463,0.0001
wc7.0_eta4.2e-5,5,40,50,21,69.6909837434,69.6909837434,uncertain,series_0,amplitude,5.23387521481e-05,9.24503560544e-05,2.15845506058e-05,6.80941115874e-05,0,1e-15,2.01679996881e-05,0.811464898564,0.0001
wc7.2_eta6.0e-5,1,0,9.5,20,6.27278370622,6.27278370622,not_converged,series_0,amplitude,0.000109629434512,6.28442165627e-06,6.34791205969e-06,1.87654640182e-06,2.43438108346e-05,8.21920181486e-06,1.93957243344e-06,0.110721187878,0.0001
wc7.2_eta6.0e-5,2,10,19.5,20,68.1985099748,53.8434041287,uncertain,series_0,amplitude,8.94076204631e-05,2.23818737427e-05,3.44774467281e-07,1.93742526681e-05,9.09041099473e-06,3.09543249464e-05,7.72006014316e-06,-0.0946800987728,0.0001
wc7.2_eta6.0e-5,3,20,29.5,20,58.5625350422,53.8434041287,uncertain,series_0,drift,6.88295004074e-05,8.4642859066e-05,7.89395206967e-05,9.73643247813e-05,1.68504533883e-05,7.85886527896e-05,2.15357304018e-05,0.295240967676,0.0001
wc7.2_eta6.0e-5,4,30,39.5,20,60.1941682676,53.8434041287,uncertain,series_0,jump,6.37016871583e-05,0.000108885697113,1.91939400965e-05,7.48785271328e-05,2.15222007196e-05,0.000303734708106,2.37533612538e-05,0.798140162622,0.0001
wc7.2_eta6.0e-5,5,40,50,21,53.8434041287,53.8434041287,uncertain,series_0,amplitude,5.97570737279e-05,0.000417071092884,2.02276966175e-05,1.98999296955e-05,0,1e-15,9.09838537154e-05,0.931707318839,0.0001
wc7.5_eta4.5e-5,1,0,9.5,20,100,63.5772919408,strong,series_0,,8.19275422723e-05,2.12070636826e-06,7.23034367221e-06,2.04925228382e-06,1.28426417099e-05,2.28087731105e-06,2.14793210946e-06,0.205347187086,0.0001
wc7.5_eta4.5e-5,2,10,19.5,20,99.9998764195,63.5772919408,strong,series_0,amplitude,7.13002764151e-05,6.09276743065e-06,1.30740451344e-05,8.68959285373e-07,2.89334286752e-06,6.702867032e-06,7.60014673899e-06,-0.0230637875996,0.0001
wc7.5_eta4.5e-5,3,20,29.5,20,99.8193039015,63.5772919408,strong,series_0,jump,2.0775439179e-05,1.79528715426e-05,1.80906374859e-05,1.32991371866e-05,1.8966573899e-05,2.78462356442e-05,1.46155940745e-05,0.402581707974,0.0001
wc7.5_eta4.5e-5,4,30,39.5,20,95.8804285202,63.5772919408,strong,series_0,jump,1.99208103185e-05,4.54735704463e-05,7.06623282111e-06,4.43123337297e-05,2.65048554134e-05,4.23121274869e-05,3.58753731777e-05,0.753392500647,0.0001
wc7.5_eta4.5e-5,5,40,50,21,63.5772919408,63.5772919408,uncertain,series_0,drift,6.26612863573e-05,5.23764258308e-05,7.45593256732e-05,7.32775092947e-05,0,1e-15,4.13212290998e-05,0.7796758745,0.0001
wc7.5_eta6.5e-5,1,0,9.5,20,10.6148041325,10.6148041325,not_converged,series_0,amplitude,0.000117615735914,1.41233592137e-05,7.40304130671e-06,1.36357194239e-05,2.65224430981e-05,1.14649651662e-05,3.08100386383e-06,0.541146244524,0.0001
wc7.5_eta6.5e-5,2,10,19.5,20,54.0351453037,39.335538415,uncertain,series_0,amplitude,9.71638204356e-05,2.7992524851e-05,9.36273346813e-06,5.56521593284e-05,1.19760625751e-05,2.80318328218e-05,9.65531205711e-06,-0.00739438770673,0.0001
wc7.5_eta6.5e-5,3,20,29.5,20,73.0291836324,39.335538415,uncertain,series_0,amplitude,5.44759778595e-05,7.4180103554e-05,1.5641666439e-05,0.000108590139214,8.67311210073e-06,0.000117261016717,1.83801818274e-05,0.31923376203,0.0001
wc7.5_eta6.5e-5,4,30,39.5,20,60.2868846404,39.335538415,uncertain,series_0,drift,5.39478752272e-05,0.00016163112368,4.37278892704e-05,0.000215783992275,7.05156984204e-06,0.000230428402005,3.5259750109e-05,0.838292670474,0.0001
wc7.5_eta6.5e-5,5,40,50,21,39.335538415,39.335538415,not_converged,series_0,drift,9.18449589634e-05,0.000283005953877,0.000126773405469,9.89466312495e-05,0,1e-15,6.17376096005e-05,0.826042350393,0.0001
wc8.0_eta3.0e-5,1,0,9.5,20,99.9999999721,64.2881182457,strong,series_0,amplitude,5.32648578855e-05,7.53569374249e-06,5.07294421039e-06,4.54389961663e-06,8.09041691063e-06,4.85604684963e-06,2.42397348447e-06,0.0697002977729,0.0001
wc8.0_eta3.0e-5,2,10,19.5,20,99.9740912779,64.2881182457,strong,series_0,jump,4.03683553947e-05,1.14831549613e-05,1.00716056986e-05,2.46184732269e-05,1.7021235581e-06,2.83182796192e-05,3.96082329629e-06,-0.0476495636076,0.0001
wc8.0_eta3.0e-5,3,20,29.5,20,88.6570396943,64.2881182457,usable,series_0,drift,1.6888736863e-05,4.60216792372e-05,2.14063550015e-05,6.50346357343e-05,1.03042648899e-05,4.44626121207e-05,1.00396066831e-05,0.762381295836,0.0001
wc8.0_eta3.0e-5,4,30,39.5,20,79.688699157,64.2881182457,uncertain,series_0,jump,2.16091946124e-05,7.94774226352e-05,1.840843169e-05,2.77818340066e-06,1.358793072e-05,0.000104041567998,1.73379606453e-05,0.580932882925,0.0001
wc8.0_eta3.0e-5,5,40,50,21,64.2881182457,64.2881182457,uncertain,series_0,drift,1.66390958799e-05,0.000191956804777,7.80835618288e-06,0.000251772248564,0,1e-15,4.18752825201e-05,0.691838976955,0.0001
wc8.5_eta5.0e-5,1,0,9.5,20,99.9999937838,80.2963027283,strong,series_0,amplitude,8.93482991372e-05,2.01468785519e-06,7.48547408232e-06,3.22678724281e-06,1.50951241428e-05,2.68963956471e-06,2.38164078848e-06,0.0536880968707,0.0001
wc8.5_eta5.0e-5,2,10,19.5,20,99.9959969529,80.2963027283,strong,series_0,amplitude,7.10659121048e-05,7.33582447653e-06,5.90530905342e-06,1.7818853592e-05,2.36838916479e-07,7.36485687195e-06,8.41553480118e-06,0.0835602832438,0.0001
wc8.5_eta5.0e-5,3,20,29.5,20,99.9936085728,80.2963027283,strong,series_0,amplitude,2.53165004577e-05,1.94965282346e-05,1.61888133968e-05,1.46313640549e-05,6.42643218807e-06,2.08897958111e-05,1.58754747113e-05,0.402414052252,0.0001
wc8.5_eta5.0e-5,4,30,39.5,20,92.6463381955,80.2963027283,usable,series_0,jump,2.51692615109e-05,4.79976889632e-05,1.06957948401e-05,1.52130207032e-05,3.6475869254e-05,4.381133986e-05,3.78667209617e-05,0.542953893847,0.0001
wc8.5_eta5.0e-5,5,40,50,21,80.2963027283,80.2963027283,usable,series_0,drift,1.7837102511e-05,7.00867857464e-05,1.50375874209e-05,9.96915929673e-05,0,1e-15,5.52934280022e-05,0.734864974659,0.0001
wc9.0_eta4.0e-5,1,0,9.5,20,99.9885155613,52.1198211162,strong,series_0,amplitude,7.01135148707e-05,8.11272093688e-06,7.58991165242e-06,1.67608013141e-05,1.02073556312e-05,8.34802744149e-06,1.76978608095e-06,0.696383358942,0.0001
